UNIT 21,CHINYANJA BASIC COURSE
f.s cimanga,wa} Kull cimanga kumsika.
-peneka,to doubt
Haa. Osapenéka fyai.,"Yes, indeed. ('No doubt.')"
UNIT 23,CHINYANJA
A.,Ine ndimakhala kuMwdnza. I live at Mwanza.
tyai.,Pang'6no basi.
CHINYANJA BASIC COURSE,UNIT 21
mmakhala,you live
ndimakhala,[ors
umagwila,you get
ndimagwila,I get
"The tone of the subject pattern, but",prefix is in the first
"some other verbs),",while the second is used with /-gwila/ (and
accept the pattern,in Sentences 1 and 2 of the dialogue
"for this unit, and whether he would accept",on the
umakhala,[O07
amathandiza,forserf
ndingapeze,I can find
ndinapeza,I found
ndingatenge,I can take
ndinatenga,I took
Ndingapeze njilad.,I can find the way.
Ndinapeza njila.,"I found the path,"
"was met as an approximate equivalent for English 'can, be able’,",The
"Mutha kuenda pansi, different translation equivalent","You can go on foot, for 'can, be able', the"
CHINYANJA,BASIC COURSE
-ona,to see
"ndabwéla kidzdkiscnani. Father,",I've come to see you.
"mtima (3,4)",heart
4 4 XN 4 é f a cakudya? Have,the children fixed food
tsopano,now
mili kumva bwanji tsdépan6? How are,you feeling now?
UNIT 25,CHINYANJA BASIC COURSE
Tinapita kukaona Bambo Acabwela.,Tabwela kudzaona Bambo Acabwela.
Tinapita ku'town' kbkddna Bambd,Tabwela kino kidz4déna Bambo
"Y fo ,s s 4 x Tinapita kwace kukayankhula wo naye.","Nu uGN 2 é Tabwela kwanu kudzayankhula ao nanu,"
Ndabweld kbdzdkuona.,I've come to see you.
Ndabwe1a kidzakGdndni.,I've come to see you.
Mwabwe1a kudzdand{éna?,You've come to see me?
Mwabwela kudzAtiona?,You've come to see us/me?
Mungandiuze njila yace?,Can you show me the way to
Mungandigulitse imozi?,Can you sell me one?
Singular,Plural
Tidza,"tandiza,"
Mudza,thandiza?
ine,ndine
life lyé,Mungatigtlitsé oo?
,Ndinayenda pansi. I came on foot. fb 71]
inu,Tabwela kudzakuonani.
iyé,ee
Zikomo bambo.,Excuse me (sir).
Lowani bambo.,Come in (sir).
ngati,whether
Ndili kupénéka kwdmb/1i.,I doubt [it] very much.
mal,"mother, my mother"
Nanga amai apita kuti lelo?,Where has Mother gone today?
munapita,‘you went'
mudzapita,‘you will go'
mupita,‘you go'
mu(li) kupita,‘you are going'
mumapita,"""you [regularly] go’"
"contains a subject prefix (/mu-/), a tense marker (underlined),",and a stem
Mai apita kuti 16169,Mal Andpitd kuti dzh1o?
MupitaA kuti 1816?,Munapita kuti dzu1s?
Mupanga cldni 1616? apanga ciani lelo? wafpita kumunda 161d. Tf{pits,Munapanga ciani dzulo? s{naffuna kipfta kimunda 1616. sitifina
Dzuwa lonséll?,All this sun?!
"Ee, Ndithd,","Oh, yes indeed."
-bvutitsa,to cause someone to be
-konda,"to please, to love"
-kondwa,"to be pleased, to be"
Ndidzakhala wokondwa kuwapeza....,I'll be glad to see her...
Dziko lino ndi lobvuta.,This country is hard.
"lino/ by the word /ndi/ 'is',",/yopita/ modifies /njila/ 'path' and stands
UNIT 28,CHINYANJA BASIC COURSE
Mwayénda bwanji nanga?,Oh. How did you come?
-socela/ -sokela,"to wander, lose one's way"
-zungulila,to be or go roundabout
kubwéla,"N sf NX 4,% NON Mwabvutika kubwela kuno?"
dziko,lobvuta a difficult country
"an answer, using /-pvutika/,",and some or all of the verbs suggested in the
Munddzéla msed uti?,How did you come?
Ndin4dzé1a msét wakGamMidima. sinainabvutike pobwéla kuno.,I came by the Midima road.
-kwela,to climb
Ndindkwéla basi.,I took the bus.
-lipila,to pay
