page	mende	english	alternate	pixel_height	col
6	Bafa	hut		1040	3
6	dawa	leaf		1106	3
6	folo	sun		1166	3
6	genda	morning		1232	3
6	gbale	hurt		1282	3
6	haku	tortoise		1342	3
6	loli	dance		1397	3
6	maana	plantain		1469	3
6	mba	rice		1524	3
6	ngali	thorn		1584	3
6	nyani	spoil		1639	3
6	sani	bottle		1694	3
6	p_l_	house		1040	3
6	t__	fowl		1106	3
6	vonu	last year		1166	3
6	kali	hoe		1232	3
6	kpate	make		1282	3
6	jaka	male lizard		1342	3
6	navo	money		1397	3
6	wala	wooden state		1469	3
6	ndamba	crocodile		1524	3
6	nja	water		1584	3
6	_ama	blood		1639	3
6	yabasi	onion		1694	3
6	ndili	housefly		2167	3
6	tewe	cut		2228	3
6	m_h_	food		2283	3
6	paa	kill		2343	3
6	h_l_	sew		2393	3
6	tolo	kolanut		2459	3
6	bulu	horn		2519	3
6	paa	kill		2756	2
6	kpaa	farm		2811	2
6	L__lu	five		2866	2
6	puu	ten		2926	2
6	fajii	the bucket		2981	2
7	Kpale	pain		842	2
7	Ndovo	frog		908	2
7	Ngoto	waist		963	2
7	Gbembe	board		842	2
7	Ny_k_	sugar cane		908	2
7	_oni	Bird		1320	2
7	_ama	Blood		1381	2
7	Polo_	Far		1441	2
7	Gbu_	Heavy falling sound		1507	2
7	Ita	One		1909	2
7	Fele	Two		1980	2
7	Sawa	Three		2035	2
7	Naani	Four		2090	2
7	L__lu	Five		2151	2
7	Weita	Six		2211	2
7	W_fla	Seven		2266	2
7	Wayakpa	Eight		2332	2
7	Taalu	Nine		2387	2
7	Puu	Ten		2448	2
7	Puu mahun yila	Eleven		2503	2
7	Numu gb_y_ng_	Twenty		2563	2
7	Numu gb_y_ng_ mahun puu	Thirty		2622	2
7	Numu fele gb_y_ng_	Forty		2681	2
7	Numu fele gb_y_ng_ mahun puu	Fifty		2740	2
7	Numu sawa gb_y_ng_	Sixty		2799	2
7	Numu sawa gb_y_ng_ mahun puu	Seventy		2858	2
7	Numu naani gb_y_ng_	Eighty		2917	2
7	Numu naani gb_y_ng_ mahun puu	Ninety		2976	2
7	H_nd_ yila	One hundred		3035	2
7	Tausi yila	One thousand		3094	2
8	Haala	first		418	2
8	Yeso	first		484	2
8	Senti yila ve mb_	Give me one cent		776	2
8	Haala Pisk_ l_	This is the first Peace Corps		836	2
8	Nya yeso ngi wani	I came first		897	2
8	Yengila wu bagihun	Put one of them in the bag		1188	2
8	Yengila b_ ii nya yeya	I don't have anyone		1254	2
8	Yakpe mia nya yeya	I have only one		1491	2
9	Ndé	say it		1766	2
9	Hélé	elephant		1826	2
9	Lá	lie down		1886	2
9	B__l__	hat/cap		1766	2
9	Mbùlù	intestine		1826	2
9	Hè	blessing		1886	2
9	Tèí	The fowl/chicken		2354	2
9	Ngùí	The head		2475	2
9	S__lèí	The banana		2530	2
9	Ngíì	I not		2354	2
9	H__nd____ 	Book		2475	2
9	Búkúì`	Book		2530	2
9	Ndòli	Hook		2827	2
9	Kálì	Hoe		2888	2
9	Mbówó	Clay		2948	2
9	Ndóli	Dance		2827	2
9	Kàli	Snake		2888	2
9	Mbòw	To fly		2948	2
9	B____ lí?	Won't you go?		3245	2
9	B____ li	You can't go.		3306	2
9	Máá biá miá mù limá.	We are going together		3410	2
9	Máá bíà míà mú límá?	Are we going together?		3471	2
10	"Ndiam_, buwaa"	"Hello, friend"		1947	2
10	"Mm, buwaa, bi si_"	Hello		2008	2
10	Gb__ bi ngahun?	How are you?		2123	2
10	"Kaye ii Ngew_ ma, _ biab__?"	"I'm well, and you?"		2189	2
10	Nya b__ kaye ii Ngew_ ma	I'm well too		2305	2
10	K_ mal_ b_ma	See you again		2360	2
10	E-ye mal_ hoe	O.k. we shall see		2475	2
10	Kahuin ye na?	How are you?		2712	2
10	Nya ngahun gbuang_	I'm well		2772	2
10	__ bi waa	Hello (answering a greeting)		2833	2
10	"Mm, k_ ta mia"	O.k. we shall see		2882	2
12	Ngenda t_tei	Early morning		374	2
12	Ngendei	Morning		435	2
12	Folihun	Afternoon		495	2
12	Kp_k_ voe	Evening		561	2
12	Fitiima	Twilight		616	2
12	Kpindi	Night		677	2
12	Ngewohuin	Dawn		737	2
12	Buwaa	Have you come	Hello/good morning	974	3
12	Bia na	Are you there	Good afternon	1033	3
12	Buuvaa	Did you spend the day	Good evening	1092	3
12	Mu kp_k_	Good night	Good night	1151	3
12	Mua l__ sina	We see tomorrow	See you tomorrow	1210	3
12	Ndiam_	Friend		1617	2
12	Ng_	Elder brother/sister		1676	2
